sls_ord_num,prd_key,CID,sls_sales,sls_quantity,sls_price,GEN,cst_firstname,cst_lastname,cst_marital_status,CNTRY,prd_id,prd_nm,prd_cost,prd_line,ID,CAT,SUBCAT,MAINTENANCE,order_date,ship_date,due_date,birth_date,customer_creation_date,product_start_date,product_end_date,is_active_product,customer_age,order_to_ship_days,order_date_month,ship_date_month,due_date_month,birth_date_month,customer_creation_date_month,product_start_date_month,product_end_date_month
SO43708,BK-R50R-52,20042,699.0,1,699.0,MALE,Brad,Deng,Married,UNITED KINGDOM,330,Road-650 Red- 52,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-31,2011-01-07,2011-01-12,1979-11-01,2026-01-05,2011-07-01,2007-12-28,False,45,7,December,January,January,November,January,July,December
SO43709,BK-R93R-52,16351,3578.0,1,3578.0,FEMALE,Martha,Xu,Single,AUSTRALIA,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-31,2011-01-07,2011-01-12,1960-01-04,2026-01-04,2011-07-01,2007-12-28,False,65,7,December,January,January,January,January,July,December
SO43710,BK-R93R-56,16517,3578.0,1,3578.0,FEMALE,Katrina,Raji,Married,AUSTRALIA,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2010-12-31,2011-01-07,2011-01-12,1981-09-16,2026-01-04,2011-07-01,2007-12-28,False,43,7,December,January,January,September,January,July,December
SO43711,BK-R93R-56,27606,3578.0,1,3578.0,FEMALE,Courtney,Edwards,Single,UNITED STATES,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-01,2011-01-08,2011-01-13,1962-11-24,2026-01-14,2011-07-01,2007-12-28,False,62,7,January,January,January,November,January,July,December
SO43712,BK-R93R-44,13513,3578.0,1,3578.0,FEMALE,Abigail,Henderson,Married,DE,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-01,2011-01-08,2011-01-13,1947-03-08,2025-10-12,2011-07-01,2007-12-28,False,78,7,January,January,January,March,October,July,December
SO43713,BK-R93R-62,27601,3578.0,1,3578.0,FEMALE,Sydney,Rogers,Single,UNITED STATES,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-02,2011-01-09,2011-01-14,1970-05-06,2026-01-14,2011-07-01,2007-12-28,False,55,7,January,January,January,May,January,July,December
SO43714,BK-R93R-44,13591,3578.0,1,3578.0,FEMALE,Latasha,Alonso,Married,UNITED KINGDOM,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-02,2011-01-09,2011-01-14,1964-05-21,2025-10-12,2011-07-01,2007-12-28,False,61,7,January,January,January,May,October,July,December
SO43715,BK-R93R-56,16483,3578.0,1,3578.0,MALE,Warren,Jai,Married,AUSTRALIA,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-02,2011-01-09,2011-01-14,1961-10-13,2026-01-04,2011-07-01,2007-12-28,False,63,7,January,January,January,October,January,July,December
SO43716,BK-R93R-44,16529,3578.0,1,3578.0,MALE,Jonathon,Gutierrez,Married,AUSTRALIA,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-02,2011-01-09,2011-01-14,1983-01-25,2026-01-04,2011-07-01,2007-12-28,False,42,7,January,January,January,January,January,July,December
SO43717,BK-R50B-62,25249,699.0,1,699.0,FEMALE,Alexandra,Watson,Single,AUSTRALIA,336,Road-650 Black- 62,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-02,2011-01-09,2011-01-14,1963-02-05,2026-01-05,2011-07-01,2007-12-28,False,62,7,January,January,January,February,January,July,December
SO43718,BK-R93R-44,27668,3578.0,1,3578.0,MALE,Kevin,Gonzalez,Single,UNITED STATES,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-03,2011-01-10,2011-01-15,1959-04-25,2026-01-25,2011-07-01,2007-12-28,False,66,7,January,January,January,April,January,July,December
SO43719,BK-R93R-48,27612,3578.0,1,3578.0,MALE,Lucas,Hill,Married,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-03,2011-01-10,2011-01-15,1978-11-18,2026-01-17,2011-07-01,2007-12-28,False,46,7,January,January,January,November,January,July,December
SO43720,BK-R93R-44,13264,3578.0,1,3578.0,FEMALE,Melanie,Sanchez,Married,DE,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-03,2011-01-10,2011-01-15,1961-11-20,2025-10-12,2011-07-01,2007-12-28,False,63,7,January,January,January,November,October,July,December
SO43721,BK-R93R-62,13590,3578.0,1,3578.0,MALE,Louis,Xie,Married,UNITED KINGDOM,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-03,2011-01-10,2011-01-15,1958-11-15,2025-10-12,2011-07-01,2007-12-28,False,66,7,January,January,January,November,October,July,December
SO43722,BK-R93R-48,13581,3578.0,1,3578.0,MALE,Albert,Blanco,Married,UNITED KINGDOM,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-04,2011-01-11,2011-01-16,1952-04-17,2025-10-12,2011-07-01,2007-12-28,False,73,7,January,January,January,April,October,July,December
SO43723,BK-R50B-58,14520,699.0,1,699.0,FEMALE,Bonnie,Xu,Single,USA,332,Road-650 Black- 58,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-04,2011-01-11,2011-01-16,1984-06-16,2025-10-12,2011-07-01,2007-12-28,False,40,7,January,January,January,June,October,July,December
SO43724,BK-R93R-44,16520,3578.0,1,3578.0,FEMALE,Misty,Raji,Married,AUSTRALIA,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-04,2011-01-11,2011-01-16,1982-04-22,2026-01-04,2011-07-01,2007-12-28,False,43,7,January,January,January,April,January,July,December
SO43725,BK-R93R-44,13258,3578.0,1,3578.0,FEMALE,Anne,Dominguez,Married,DE,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-05,2011-01-12,2011-01-17,1962-08-31,2025-10-12,2011-07-01,2007-12-28,False,62,7,January,January,January,August,October,July,December
SO43726,BK-R50B-58,14560,699.0,1,699.0,MALE,Kelvin,Huang,Married,USA,332,Road-650 Black- 58,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-05,2011-01-12,2011-01-17,1976-03-31,2025-10-12,2011-07-01,2007-12-28,False,49,7,January,January,January,March,October,July,December
SO43727,BK-R93R-44,16607,3578.0,1,3578.0,MALE,Logan,Gonzales,Married,AUSTRALIA,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-05,2011-01-12,2011-01-17,1981-02-23,2026-01-04,2011-07-01,2007-12-28,False,44,7,January,January,January,February,January,July,December
SO43728,BK-R93R-52,27666,3578.0,1,3578.0,FEMALE,Alyssa,Garcia,Married,UNITED STATES,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-06,2011-01-13,2011-01-18,1960-01-23,2026-01-25,2011-07-01,2007-12-28,False,65,7,January,January,January,January,January,July,December
SO43729,BK-M82S-44,11238,3400.0,1,3400.0,FEMALE,Mayra,Prasad,Single,UNITED KINGDOM,346,Mountain-100 Silver- 44,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-06,2011-01-13,2011-01-18,1964-02-07,2025-10-08,2011-07-01,2007-12-28,False,61,7,January,January,January,February,October,July,December
SO43730,BK-M82S-44,25861,3400.0,1,3400.0,MALE,Garrett,Cooper,Married,UNITED STATES,346,Mountain-100 Silver- 44,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-06,2011-01-13,2011-01-18,1950-08-26,2026-01-14,2011-07-01,2007-12-28,False,74,7,January,January,January,August,January,July,December
SO43731,BK-R93R-56,16629,3578.0,1,3578.0,FEMALE,Rosa,Zheng,Single,AUSTRALIA,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-06,2011-01-13,2011-01-18,1978-03-13,2026-01-04,2011-07-01,2007-12-28,False,47,7,January,January,January,March,January,July,December
SO43732,BK-M82B-44,11025,3375.0,1,3375.0,FEMALE,Alejandro,Beck,Married,AUSTRALIA,350,Mountain-100 Black- 44,1898.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-06,2011-01-13,2011-01-18,1951-06-22,2025-10-07,2011-07-01,2007-12-28,False,73,7,January,January,January,June,October,July,December
SO43733,BK-R93R-48,27577,3578.0,1,3578.0,MALE,Patrick,Cook,Single,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-06,2011-01-13,2011-01-18,1963-12-02,2026-01-14,2011-07-01,2007-12-28,False,61,7,January,January,January,December,January,July,December
SO43734,BK-R93R-48,27604,3578.0,1,3578.0,MALE,Richard,Brooks,Married,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-07,2011-01-14,2011-01-19,1962-08-31,2026-01-14,2011-07-01,2007-12-28,False,62,7,January,January,January,August,January,July,December
SO43735,BK-R93R-62,16522,3578.0,1,3578.0,FEMALE,Casey,Pal,Married,AUSTRALIA,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-07,2011-01-14,2011-01-19,1985-01-01,2026-01-04,2011-07-01,2007-12-28,False,40,7,January,January,January,January,January,July,December
SO43736,BK-M82S-44,11002,3400.0,1,3400.0,MALE,Ruben, Torres,Married,AUSTRALIA,346,Mountain-100 Silver- 44,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-07,2011-01-14,2011-01-19,1971-02-09,2025-10-06,2011-07-01,2007-12-28,False,54,7,January,January,January,February,October,July,December
SO43737,BK-R93R-44,13261,3578.0,1,3578.0,FEMALE,Lindsey,Andersen,Married,DE,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-08,2011-01-15,2011-01-20,1962-10-03,2025-10-12,2011-07-01,2007-12-28,False,62,7,January,January,January,October,October,July,December
SO43738,BK-R93R-48,11606,3578.0,1,3578.0,FEMALE,Melody,Ramos,Single,FRANCE,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-08,2011-01-15,2011-01-20,1986-01-30,2025-10-08,2011-07-01,2007-12-28,False,39,7,January,January,January,January,October,July,December
SO43739,BK-R93R-62,13563,3578.0,1,3578.0,MALE,Phillip,Sai,Married,UNITED KINGDOM,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-08,2011-01-15,2011-01-20,1975-01-29,2025-10-12,2011-07-01,2007-12-28,False,50,7,January,January,January,January,October,July,December
SO43740,BK-R93R-48,16527,3578.0,1,3578.0,MALE,Cory,Arun,Single,AUSTRALIA,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-08,2011-01-15,2011-01-20,1983-12-18,2026-01-04,2011-07-01,2007-12-28,False,41,7,January,January,January,December,January,July,December
SO43741,BK-R93R-62,27671,3578.0,1,3578.0,MALE,Jeremiah,Martinez,Single,UNITED STATES,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-09,2011-01-16,2011-01-21,1958-09-01,2026-01-25,2011-07-01,2007-12-28,False,66,7,January,January,January,September,January,July,December
SO43742,BK-R93R-56,13576,3578.0,1,3578.0,FEMALE,Tamara,Lal,Single,UNITED KINGDOM,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-09,2011-01-16,2011-01-21,1961-06-17,2025-10-12,2011-07-01,2007-12-28,False,63,7,January,January,January,June,October,July,December
SO43743,BK-M82S-48,11007,3400.0,1,3400.0,MALE,Marco,Mehta,Married,AUSTRALIA,347,Mountain-100 Silver- 48,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-09,2011-01-16,2011-01-21,1969-11-06,2025-10-06,2011-07-01,2007-12-28,False,55,7,January,January,January,November,October,July,December
SO43744,BK-R93R-52,16631,3578.0,1,3578.0,FEMALE,Haley,Ward,Single,AUSTRALIA,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-09,2011-01-16,2011-01-21,1976-09-16,2026-01-04,2011-07-01,2007-12-28,False,48,7,January,January,January,September,January,July,December
SO43745,BK-R93R-44,16514,3578.0,1,3578.0,MALE,Manuel,Fernandez,Single,AUSTRALIA,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-10,2011-01-17,2011-01-22,1985-07-10,2026-01-04,2011-07-01,2007-12-28,False,39,7,January,January,January,July,January,July,December
SO43746,BK-R93R-48,16616,3578.0,1,3578.0,MALE,Kelvin,Liang,Single,AUSTRALIA,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-10,2011-01-17,2011-01-22,1985-06-02,2026-01-04,2011-07-01,2007-12-28,False,40,7,January,January,January,June,January,July,December
SO43747,BK-R93R-56,27623,3578.0,1,3578.0,MALE,Christian,Jackson,Single,UNITED STATES,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-11,2011-01-18,2011-01-23,1962-06-02,2026-01-25,2011-07-01,2007-12-28,False,63,7,January,January,January,June,January,July,December
SO43748,BK-R93R-52,27625,3578.0,1,3578.0,FEMALE,Alexandria,Hughes,Single,UNITED STATES,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-11,2011-01-18,2011-01-23,1961-09-29,2026-01-25,2011-07-01,2007-12-28,False,63,7,January,January,January,September,January,July,December
SO43749,BK-R93R-56,27636,3578.0,1,3578.0,FEMALE,Paige,Murphy,Married,UNITED STATES,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-11,2011-01-18,2011-01-23,1968-04-03,2026-01-25,2011-07-01,2007-12-28,False,57,7,January,January,January,April,January,July,December
SO43750,BK-R93R-44,11591,3578.0,1,3578.0,FEMALE,Stacey,Lu,Single,FRANCE,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-11,2011-01-18,2011-01-23,1968-11-12,2025-10-08,2011-07-01,2007-12-28,False,56,7,January,January,January,November,October,July,December
SO43751,BK-R93R-52,11592,3578.0,1,3578.0,MALE,Darrell,Raji,Single,FRANCE,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-11,2011-01-18,2011-01-23,1984-03-03,2025-10-08,2011-07-01,2007-12-28,False,41,7,January,January,January,March,October,July,December
SO43752,BK-R93R-44,13265,3578.0,1,3578.0,MALE,Luke,Adams,Single,DE,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-11,2011-01-18,2011-01-23,1961-07-21,2025-10-12,2011-07-01,2007-12-28,False,63,7,January,January,January,July,October,July,December
SO43753,BK-R93R-62,16482,3578.0,1,3578.0,FEMALE,Tabitha,Arthur,Married,AUSTRALIA,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-11,2011-01-18,2011-01-23,1955-11-12,2026-01-04,2011-07-01,2007-12-28,False,69,7,January,January,January,November,January,July,December
SO43754,BK-R93R-48,27617,3578.0,1,3578.0,FEMALE,Morgan,Phillips,Single,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-12,2011-01-19,2011-01-24,1980-07-18,2026-01-22,2011-07-01,2007-12-28,False,44,7,January,January,January,July,January,July,December
SO43755,BK-R93R-44,27670,3578.0,1,3578.0,FEMALE,Kayla,Long,Single,UNITED STATES,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-12,2011-01-19,2011-01-24,1970-01-01,2026-01-25,2011-07-01,2007-12-28,False,55,7,January,January,January,January,January,July,December
SO43756,BK-R50B-58,19941,699.0,1,699.0,MALE,Cedric,Liang,Single,UNITED KINGDOM,332,Road-650 Black- 58,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-12,2011-01-19,2011-01-24,1954-09-08,2026-01-05,2011-07-01,2007-12-28,False,70,7,January,January,January,September,January,July,December
SO43757,BK-M82B-44,11017,3375.0,1,3375.0,FEMALE,Shannon,Wang,Single,AUSTRALIA,350,Mountain-100 Black- 44,1898.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-12,2011-01-19,2011-01-24,1949-12-24,2025-10-07,2011-07-01,2007-12-28,False,75,7,January,January,January,December,October,July,December
SO43758,BK-R93R-62,27646,3578.0,1,3578.0,MALE,Jackson,Li,Single,UNITED STATES,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-13,2011-01-20,2011-01-25,1967-05-13,2026-01-25,2011-07-01,2007-12-28,False,58,7,January,January,January,May,January,July,December
SO43759,BK-R93R-62,13257,3578.0,1,3578.0,MALE,Jon,Chander,Married,DE,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-13,2011-01-20,2011-01-25,1963-01-03,2025-10-12,2011-07-01,2007-12-28,False,62,7,January,January,January,January,October,July,December
SO43760,BK-R93R-56,16352,3578.0,1,3578.0,FEMALE,Tiffany,Gao,Single,AUSTRALIA,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-13,2011-01-20,2011-01-25,1965-08-02,2026-01-04,2011-07-01,2007-12-28,False,59,7,January,January,January,August,January,July,December
SO43761,BK-R93R-62,16493,3578.0,1,3578.0,FEMALE,Brenda,Fernandez,Married,AUSTRALIA,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-13,2011-01-20,2011-01-25,1959-05-05,2026-01-04,2011-07-01,2007-12-28,False,66,7,January,January,January,May,January,July,December
SO43762,BK-R93R-56,27578,3578.0,1,3578.0,FEMALE,Courtney,Carter,Married,UNITED STATES,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-14,2011-01-21,2011-01-26,1964-05-07,2026-01-14,2011-07-01,2007-12-28,False,61,7,January,January,January,May,January,July,December
SO43763,BK-R93R-52,16525,3578.0,1,3578.0,FEMALE,Martha,Liang,Married,AUSTRALIA,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-14,2011-01-21,2011-01-26,1983-11-22,2026-01-04,2011-07-01,2007-12-28,False,41,7,January,January,January,November,January,July,December
SO43764,BK-R93R-62,16612,3578.0,1,3578.0,FEMALE,Ebony,Ashe,Single,AUSTRALIA,310,Road-150 Red- 62,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-14,2011-01-21,2011-01-26,1981-02-18,2026-01-04,2011-07-01,2007-12-28,False,44,7,January,January,January,February,January,July,December
SO43765,BK-M82S-44,11010,3400.0,1,3400.0,FEMALE,Jacquelyn,Suarez,Single,AUSTRALIA,346,Mountain-100 Silver- 44,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-14,2011-01-21,2011-01-26,1969-08-05,2025-10-06,2011-07-01,2007-12-28,False,55,7,January,January,January,August,October,July,December
SO43766,BK-R93R-52,16518,3578.0,1,3578.0,FEMALE,Krystal,Holt,Single,AUSTRALIA,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-15,2011-01-22,2011-01-27,1981-12-17,2026-01-04,2011-07-01,2007-12-28,False,43,7,January,January,January,December,January,July,December
SO43767,BK-M82B-44,11001,3375.0,1,3375.0,MALE,Eugene,Huang  ,Single,AUSTRALIA,350,Mountain-100 Black- 44,1898.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-15,2011-01-22,2011-01-27,1976-05-10,2025-10-06,2011-07-01,2007-12-28,False,49,7,January,January,January,May,October,July,December
SO43768,BK-R93R-48,27649,3578.0,1,3578.0,MALE,Evan,Bailey,Married,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-16,2011-01-23,2011-01-28,1960-12-05,2026-01-25,2011-07-01,2007-12-28,False,64,7,January,January,January,December,January,July,December
SO43770,BK-R93R-48,27614,3578.0,1,3578.0,MALE,Warren,Ye,Married,UNITED STATES,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-16,2011-01-23,2011-01-28,1962-01-05,2026-01-19,2011-07-01,2007-12-28,False,63,7,January,January,January,January,January,July,December
SO43771,BK-R50R-52,14559,699.0,1,699.0,FEMALE,Ashley,Washington,Married,USA,330,Road-650 Red- 52,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-16,2011-01-23,2011-01-28,1976-03-20,2025-10-12,2011-07-01,2007-12-28,False,49,7,January,January,January,March,October,July,December
SO43772,BK-R93R-48,16524,3578.0,1,3578.0,MALE,Damien,Huang,Married,AUSTRALIA,312,Road-150 Red- 48,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-16,2011-01-23,2011-01-28,1985-01-20,2026-01-04,2011-07-01,2007-12-28,False,40,7,January,January,January,January,January,July,December
SO43773,BK-R93R-56,16526,3578.0,1,3578.0,MALE,Arthur,Perez,Single,AUSTRALIA,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-16,2011-01-23,2011-01-28,1984-04-23,2026-01-04,2011-07-01,2007-12-28,False,41,7,January,January,January,April,January,July,December
SO43774,BK-R93R-52,16348,3578.0,1,3578.0,MALE,Roy,Raman,Married,AUSTRALIA,313,Road-150 Red- 52,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-16,2011-01-23,2011-01-28,1960-01-01,2026-01-04,2011-07-01,2007-12-28,False,65,7,January,January,January,January,January,July,December
SO43775,BK-M82S-48,11027,3400.0,1,3400.0,FEMALE,Jessie,Zhao,Married,AUSTRALIA,347,Mountain-100 Silver- 48,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-16,2011-01-23,2011-01-28,1952-06-05,2025-10-07,2011-07-01,2007-12-28,False,73,7,January,January,January,June,October,July,December
SO43776,BK-R93R-56,13260,3578.0,1,3578.0,MALE,James,Flores,Married,DE,314,Road-150 Red- 56,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-17,2011-01-24,2011-01-29,1963-04-08,2025-10-12,2011-07-01,2007-12-28,False,62,7,January,January,January,April,October,July,December
SO43777,BK-R93R-44,16515,3578.0,1,3578.0,MALE,Troy,Sai,Married,AUSTRALIA,311,Road-150 Red- 44,2171.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-17,2011-01-24,2011-01-29,1985-08-03,2026-01-04,2011-07-01,2007-12-28,False,39,7,January,January,January,August,January,July,December
SO43778,BK-M82S-42,11018,3400.0,1,3400.0,MALE,Clarence,Rai,Single,AUSTRALIA,345,Mountain-100 Silver- 42,1912.0,M ,BI_MB,Bikes,Mountain Bikes,Yes,2011-01-17,2011-01-24,2011-01-29,1955-10-06,2025-10-07,2011-07-01,2007-12-28,False,69,7,January,January,January,October,October,July,December
SO43779,BK-R50R-44,25252,699.0,1,699.0,MALE,Warren,Zhang,Single,AUSTRALIA,326,Road-650 Red- 44,413.0,R ,BI_RB,Bikes,Road Bikes,Yes,2011-01-17,2011-01-24,2011-01-29,1961-10-02,2026-01-05,2011-07-01,2007-12-28,False,63,7,January,January,January,October,January,July,December
